genome,location,length
V1LD.contigs.10kb_virus_k127_1205277|provirus_83591_187989.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205277|provirus_83591_187989.fasta,104399
V1LD.contigs.10kb_virus_k127_1205279 flag=3 multi=19.0003 len=62784.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205279 flag=3 multi=19.0003 len=62784.fasta,62784
V1LD.contigs.10kb_virus_k127_1205281 flag=3 multi=36.0003 len=106140.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205281 flag=3 multi=36.0003 len=106140.fasta,106140
V1LD.contigs.10kb_virus_k127_1205286 flag=3 multi=22.9970 len=64876.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205286 flag=3 multi=22.9970 len=64876.fasta,64876
V1LD.contigs.10kb_virus_k127_1205289 flag=3 multi=12.0002 len=61542.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205289 flag=3 multi=12.0002 len=61542.fasta,61542
V1LD.contigs.10kb_virus_k127_1205291 flag=3 multi=11.0002 len=66642.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205291 flag=3 multi=11.0002 len=66642.fasta,66642
V1LD.contigs.10kb_virus_k127_1205292 flag=3 multi=16.9940 len=50946.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205292 flag=3 multi=16.9940 len=50946.fasta,50946
V1LD.contigs.10kb_virus_k127_1205300 flag=3 multi=30.0003 len=96341.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205300 flag=3 multi=30.0003 len=96341.fasta,96341
V1LD.contigs.10kb_virus_k127_1205310 flag=3 multi=12.9979 len=50435.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205310 flag=3 multi=12.9979 len=50435.fasta,50435
V1LD.contigs.10kb_virus_k127_1205317 flag=3 multi=13.0002 len=59508.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205317 flag=3 multi=13.0002 len=59508.fasta,59508
V1LD.contigs.10kb_virus_k127_1205321 flag=3 multi=26.0005 len=57234.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205321 flag=3 multi=26.0005 len=57234.fasta,57234
V1LD.contigs.10kb_virus_k127_1205326 flag=3 multi=23.9981 len=113453.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205326 flag=3 multi=23.9981 len=113453.fasta,113453
V1LD.contigs.10kb_virus_k127_1205357 flag=3 multi=9.0002 len=59337.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205357 flag=3 multi=9.0002 len=59337.fasta,59337
V1LD.contigs.10kb_virus_k127_1205374 flag=3 multi=17.9954 len=70227.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205374 flag=3 multi=17.9954 len=70227.fasta,70227
V1LD.contigs.10kb_virus_k127_1205387 flag=3 multi=55.9915 len=59670.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205387 flag=3 multi=55.9915 len=59670.fasta,59670
V1LD.contigs.10kb_virus_k127_1205400 flag=3 multi=29.0004 len=81553.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205400 flag=3 multi=29.0004 len=81553.fasta,81553
V1LD.contigs.10kb_virus_k127_1205441 flag=3 multi=11.9926 len=57975.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1205441 flag=3 multi=11.9926 len=57975.fasta,57975
V1LD.contigs.10kb_virus_k127_126819 flag=0 multi=18.9958 len=51010.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_126819 flag=0 multi=18.9958 len=51010.fasta,51010
V1LD.contigs.10kb_virus_k127_126933 flag=1 multi=9.0000 len=54514.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_126933 flag=1 multi=9.0000 len=54514.fasta,54514
V1LD.contigs.10kb_virus_k127_147535 flag=1 multi=11.0000 len=71919.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_147535 flag=1 multi=11.0000 len=71919.fasta,71919
V1LD.contigs.10kb_virus_k127_154577 flag=0 multi=14.0893 len=52150.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_154577 flag=0 multi=14.0893 len=52150.fasta,52150
V1LD.contigs.10kb_virus_k127_163760 flag=0 multi=9.4736 len=64295.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_163760 flag=0 multi=9.4736 len=64295.fasta,64295
V1LD.contigs.10kb_virus_k127_164996 flag=0 multi=10.0000 len=77546.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_164996 flag=0 multi=10.0000 len=77546.fasta,77546
V1LD.contigs.10kb_virus_k127_168269 flag=0 multi=93.2282 len=68335.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_168269 flag=0 multi=93.2282 len=68335.fasta,68335
V1LD.contigs.10kb_virus_k127_168665 flag=0 multi=34.2404 len=72776.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_168665 flag=0 multi=34.2404 len=72776.fasta,72776
V1LD.contigs.10kb_virus_k127_188672 flag=0 multi=29.9934 len=244882.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_188672 flag=0 multi=29.9934 len=244882.fasta,244882
V1LD.contigs.10kb_virus_k127_192578 flag=0 multi=80.9356 len=50421.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_192578 flag=0 multi=80.9356 len=50421.fasta,50421
V1LD.contigs.10kb_virus_k127_199037 flag=1 multi=14.0000 len=54284.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_199037 flag=1 multi=14.0000 len=54284.fasta,54284
V1LD.contigs.10kb_virus_k127_210229 flag=0 multi=31.7685 len=54083.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_210229 flag=0 multi=31.7685 len=54083.fasta,54083
V1LD.contigs.10kb_virus_k127_212046 flag=1 multi=14.9966 len=61734.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_212046 flag=1 multi=14.9966 len=61734.fasta,61734
V1LD.contigs.10kb_virus_k127_213476 flag=1 multi=8.0000 len=51904.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_213476 flag=1 multi=8.0000 len=51904.fasta,51904
V1LD.contigs.10kb_virus_k127_227155 flag=3 multi=13.9994 len=224788.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_227155 flag=3 multi=13.9994 len=224788.fasta,224788
V1LD.contigs.10kb_virus_k127_232539 flag=1 multi=10.0000 len=65812.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_232539 flag=1 multi=10.0000 len=65812.fasta,65812
V1LD.contigs.10kb_virus_k127_244412 flag=0 multi=54.9335 len=79791.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_244412 flag=0 multi=54.9335 len=79791.fasta,79791
V1LD.contigs.10kb_virus_k127_247274 flag=0 multi=19.0000 len=53620.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_247274 flag=0 multi=19.0000 len=53620.fasta,53620
V1LD.contigs.10kb_virus_k127_252765 flag=0 multi=12.9986 len=85391.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_252765 flag=0 multi=12.9986 len=85391.fasta,85391
V1LD.contigs.10kb_virus_k127_254070 flag=0 multi=14.9479 len=71652.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_254070 flag=0 multi=14.9479 len=71652.fasta,71652
V1LD.contigs.10kb_virus_k127_28012 flag=0 multi=18.7414 len=67177.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_28012 flag=0 multi=18.7414 len=67177.fasta,67177
V1LD.contigs.10kb_virus_k127_283747 flag=1 multi=8.0000 len=54596.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_283747 flag=1 multi=8.0000 len=54596.fasta,54596
V1LD.contigs.10kb_virus_k127_288636 flag=0 multi=11.5029 len=61612.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_288636 flag=0 multi=11.5029 len=61612.fasta,61612
V1LD.contigs.10kb_virus_k127_291408 flag=1 multi=12.0000 len=105047.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_291408 flag=1 multi=12.0000 len=105047.fasta,105047
V1LD.contigs.10kb_virus_k127_29496 flag=0 multi=17.1220 len=116410.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_29496 flag=0 multi=17.1220 len=116410.fasta,116410
V1LD.contigs.10kb_virus_k127_295006 flag=0 multi=20.9992 len=276316.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_295006 flag=0 multi=20.9992 len=276316.fasta,276316
V1LD.contigs.10kb_virus_k127_301124 flag=1 multi=11.0000 len=112117.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_301124 flag=1 multi=11.0000 len=112117.fasta,112117
V1LD.contigs.10kb_virus_k127_302069 flag=1 multi=21.6490 len=61592.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_302069 flag=1 multi=21.6490 len=61592.fasta,61592
V1LD.contigs.10kb_virus_k127_303211 flag=1 multi=26.0000 len=58188.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_303211 flag=1 multi=26.0000 len=58188.fasta,58188
V1LD.contigs.10kb_virus_k127_318049 flag=0 multi=15.0000 len=55159.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_318049 flag=0 multi=15.0000 len=55159.fasta,55159
V1LD.contigs.10kb_virus_k127_325043 flag=0 multi=17.9972 len=61881.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_325043 flag=0 multi=17.9972 len=61881.fasta,61881
V1LD.contigs.10kb_virus_k127_325729 flag=1 multi=19.0000 len=100364.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_325729 flag=1 multi=19.0000 len=100364.fasta,100364
V1LD.contigs.10kb_virus_k127_326809 flag=3 multi=73.0000 len=115958.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_326809 flag=3 multi=73.0000 len=115958.fasta,115958
V1LD.contigs.10kb_virus_k127_359161 flag=1 multi=12.0000 len=103333.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_359161 flag=1 multi=12.0000 len=103333.fasta,103333
V1LD.contigs.10kb_virus_k127_359759 flag=1 multi=10.0000 len=60806.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_359759 flag=1 multi=10.0000 len=60806.fasta,60806
V1LD.contigs.10kb_virus_k127_37007 flag=1 multi=7.9989 len=66780.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_37007 flag=1 multi=7.9989 len=66780.fasta,66780
V1LD.contigs.10kb_virus_k127_3735 flag=0 multi=11.0185 len=125225.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_3735 flag=0 multi=11.0185 len=125225.fasta,125225
V1LD.contigs.10kb_virus_k127_373956 flag=1 multi=13.0000 len=55810.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_373956 flag=1 multi=13.0000 len=55810.fasta,55810
V1LD.contigs.10kb_virus_k127_381217 flag=1 multi=8.0000 len=69163.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_381217 flag=1 multi=8.0000 len=69163.fasta,69163
V1LD.contigs.10kb_virus_k127_385804 flag=0 multi=71.0000 len=75233.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_385804 flag=0 multi=71.0000 len=75233.fasta,75233
V1LD.contigs.10kb_virus_k127_387188 flag=0 multi=14.9110 len=76880.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_387188 flag=0 multi=14.9110 len=76880.fasta,76880
V1LD.contigs.10kb_virus_k127_389187 flag=0 multi=12.9988 len=99351.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_389187 flag=0 multi=12.9988 len=99351.fasta,99351
V1LD.contigs.10kb_virus_k127_389487|provirus_1_91651.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_389487|provirus_1_91651.fasta,91651
V1LD.contigs.10kb_virus_k127_398333 flag=1 multi=15.9949 len=70235.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_398333 flag=1 multi=15.9949 len=70235.fasta,70235
V1LD.contigs.10kb_virus_k127_398497 flag=1 multi=9.0000 len=50867.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_398497 flag=1 multi=9.0000 len=50867.fasta,50867
V1LD.contigs.10kb_virus_k127_407829 flag=1 multi=21.0000 len=121982.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_407829 flag=1 multi=21.0000 len=121982.fasta,121982
V1LD.contigs.10kb_virus_k127_412377 flag=0 multi=11.2955 len=52523.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_412377 flag=0 multi=11.2955 len=52523.fasta,52523
V1LD.contigs.10kb_virus_k127_424021 flag=1 multi=8.0000 len=70403.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_424021 flag=1 multi=8.0000 len=70403.fasta,70403
V1LD.contigs.10kb_virus_k127_42497 flag=1 multi=52.0000 len=50213.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_42497 flag=1 multi=52.0000 len=50213.fasta,50213
V1LD.contigs.10kb_virus_k127_424997 flag=1 multi=33.0000 len=56327.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_424997 flag=1 multi=33.0000 len=56327.fasta,56327
V1LD.contigs.10kb_virus_k127_425450 flag=0 multi=8.9970 len=53231.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_425450 flag=0 multi=8.9970 len=53231.fasta,53231
V1LD.contigs.10kb_virus_k127_432983 flag=1 multi=9.0000 len=51648.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_432983 flag=1 multi=9.0000 len=51648.fasta,51648
V1LD.contigs.10kb_virus_k127_449905 flag=0 multi=11.9957 len=51093.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_449905 flag=0 multi=11.9957 len=51093.fasta,51093
V1LD.contigs.10kb_virus_k127_450888 flag=0 multi=27.0000 len=63194.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_450888 flag=0 multi=27.0000 len=63194.fasta,63194
V1LD.contigs.10kb_virus_k127_457821 flag=0 multi=36.0000 len=70027.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_457821 flag=0 multi=36.0000 len=70027.fasta,70027
V1LD.contigs.10kb_virus_k127_464430 flag=0 multi=12.0000 len=69682.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_464430 flag=0 multi=12.0000 len=69682.fasta,69682
V1LD.contigs.10kb_virus_k127_466827 flag=0 multi=20.9980 len=99366.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_466827 flag=0 multi=20.9980 len=99366.fasta,99366
V1LD.contigs.10kb_virus_k127_469425 flag=1 multi=7.0351 len=63149.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_469425 flag=1 multi=7.0351 len=63149.fasta,63149
V1LD.contigs.10kb_virus_k127_479478 flag=0 multi=19.9936 len=59799.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_479478 flag=0 multi=19.9936 len=59799.fasta,59799
V1LD.contigs.10kb_virus_k127_482235 flag=0 multi=22.0000 len=55337.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_482235 flag=0 multi=22.0000 len=55337.fasta,55337
V1LD.contigs.10kb_virus_k127_492501 flag=1 multi=11.0000 len=97087.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_492501 flag=1 multi=11.0000 len=97087.fasta,97087
V1LD.contigs.10kb_virus_k127_503535 flag=0 multi=8.9987 len=71623.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_503535 flag=0 multi=8.9987 len=71623.fasta,71623
V1LD.contigs.10kb_virus_k127_50626 flag=0 multi=42.0000 len=51840.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_50626 flag=0 multi=42.0000 len=51840.fasta,51840
V1LD.contigs.10kb_virus_k127_515508 flag=0 multi=45.9824 len=51306.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_515508 flag=0 multi=45.9824 len=51306.fasta,51306
V1LD.contigs.10kb_virus_k127_527315 flag=0 multi=21.0340 len=63875.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_527315 flag=0 multi=21.0340 len=63875.fasta,63875
V1LD.contigs.10kb_virus_k127_528968 flag=1 multi=19.0000 len=68669.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_528968 flag=1 multi=19.0000 len=68669.fasta,68669
V1LD.contigs.10kb_virus_k127_537853 flag=0 multi=51.3020 len=60993.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_537853 flag=0 multi=51.3020 len=60993.fasta,60993
V1LD.contigs.10kb_virus_k127_538640 flag=0 multi=68.4099 len=60371.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_538640 flag=0 multi=68.4099 len=60371.fasta,60371
V1LD.contigs.10kb_virus_k127_54444 flag=1 multi=12.0000 len=66603.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_54444 flag=1 multi=12.0000 len=66603.fasta,66603
V1LD.contigs.10kb_virus_k127_545320 flag=0 multi=21.0000 len=58876.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_545320 flag=0 multi=21.0000 len=58876.fasta,58876
V1LD.contigs.10kb_virus_k127_546692 flag=0 multi=56.0000 len=75308.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_546692 flag=0 multi=56.0000 len=75308.fasta,75308
V1LD.contigs.10kb_virus_k127_549765 flag=0 multi=36.0000 len=53413.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_549765 flag=0 multi=36.0000 len=53413.fasta,53413
V1LD.contigs.10kb_virus_k127_557109 flag=1 multi=9.8577 len=58107.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_557109 flag=1 multi=9.8577 len=58107.fasta,58107
V1LD.contigs.10kb_virus_k127_558051|provirus_5223_104600.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_558051|provirus_5223_104600.fasta,99378
V1LD.contigs.10kb_virus_k127_561157 flag=1 multi=10.0000 len=60862.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_561157 flag=1 multi=10.0000 len=60862.fasta,60862
V1LD.contigs.10kb_virus_k127_579586 flag=0 multi=9.4509 len=61597.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_579586 flag=0 multi=9.4509 len=61597.fasta,61597
V1LD.contigs.10kb_virus_k127_581014 flag=1 multi=12.8879 len=115925.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_581014 flag=1 multi=12.8879 len=115925.fasta,115925
V1LD.contigs.10kb_virus_k127_594634 flag=0 multi=19.9960 len=95118.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_594634 flag=0 multi=19.9960 len=95118.fasta,95118
V1LD.contigs.10kb_virus_k127_596016 flag=0 multi=43.0000 len=77372.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_596016 flag=0 multi=43.0000 len=77372.fasta,77372
V1LD.contigs.10kb_virus_k127_599435 flag=0 multi=18.9965 len=54744.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_599435 flag=0 multi=18.9965 len=54744.fasta,54744
V1LD.contigs.10kb_virus_k127_600801 flag=0 multi=15.0000 len=67187.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_600801 flag=0 multi=15.0000 len=67187.fasta,67187
V1LD.contigs.10kb_virus_k127_611215 flag=1 multi=23.0000 len=66253.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_611215 flag=1 multi=23.0000 len=66253.fasta,66253
V1LD.contigs.10kb_virus_k127_611451 flag=0 multi=401.0414 len=128447.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_611451 flag=0 multi=401.0414 len=128447.fasta,128447
V1LD.contigs.10kb_virus_k127_625940 flag=0 multi=67.1691 len=72243.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_625940 flag=0 multi=67.1691 len=72243.fasta,72243
V1LD.contigs.10kb_virus_k127_628308 flag=1 multi=48.0503 len=62492.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_628308 flag=1 multi=48.0503 len=62492.fasta,62492
V1LD.contigs.10kb_virus_k127_632406 flag=3 multi=96.0000 len=53390.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_632406 flag=3 multi=96.0000 len=53390.fasta,53390
V1LD.contigs.10kb_virus_k127_635733 flag=1 multi=19.0000 len=88448.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_635733 flag=1 multi=19.0000 len=88448.fasta,88448
V1LD.contigs.10kb_virus_k127_638076 flag=1 multi=10.8940 len=61766.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_638076 flag=1 multi=10.8940 len=61766.fasta,61766
V1LD.contigs.10kb_virus_k127_639645 flag=0 multi=9.8241 len=56464.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_639645 flag=0 multi=9.8241 len=56464.fasta,56464
V1LD.contigs.10kb_virus_k127_653614 flag=1 multi=32.0000 len=51571.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_653614 flag=1 multi=32.0000 len=51571.fasta,51571
V1LD.contigs.10kb_virus_k127_665209 flag=1 multi=11.0000 len=51736.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_665209 flag=1 multi=11.0000 len=51736.fasta,51736
V1LD.contigs.10kb_virus_k127_668016 flag=1 multi=10.0000 len=68521.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_668016 flag=1 multi=10.0000 len=68521.fasta,68521
V1LD.contigs.10kb_virus_k127_680080|provirus_2_62040.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_680080|provirus_2_62040.fasta,62039
V1LD.contigs.10kb_virus_k127_683152 flag=0 multi=136.4493 len=66470.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_683152 flag=0 multi=136.4493 len=66470.fasta,66470
V1LD.contigs.10kb_virus_k127_697695 flag=0 multi=10.9896 len=60609.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_697695 flag=0 multi=10.9896 len=60609.fasta,60609
V1LD.contigs.10kb_virus_k127_698310 flag=0 multi=11.9976 len=50385.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_698310 flag=0 multi=11.9976 len=50385.fasta,50385
V1LD.contigs.10kb_virus_k127_704081 flag=0 multi=20.0000 len=55670.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_704081 flag=0 multi=20.0000 len=55670.fasta,55670
V1LD.contigs.10kb_virus_k127_707142 flag=0 multi=48.0000 len=53790.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_707142 flag=0 multi=48.0000 len=53790.fasta,53790
